sirene,libelle_territoire,type_territoire,insee_ardt,insee_siege,sirene_epci,num_circonscription,lib_ardt
200017598,SIDEN SIAN,SI,595,59646,,,Lille
200027159,Dunkerque,COM,594,59183,245900428,13,Dunkerque
200030633,CA du Caudrésis et du Catésis,EPCI,592,59063,200030633,12,Cambrai
200036895,SIECF,SI,594,59295,,15,Dunkerque
200040103,SIVOM des rives de l'Aa et de la Colme,SI,594,59273,,,Dunkerque
200040947,CC de Flandre Intérieure,EPCI,594,59295,200040947,15,Dunkerque
200040954,CC des Hauts de Flandre,EPCI,594,59067,200040954,14,Dunkerque
200041960,CC Pévèle-Carembault,EPCI,595,59466,200041960,6,Lille
200042190,CA de la Porte du Hainaut,EPCI,596,59632,200042190,21,Valenciennes
200043263,CC Cœur de l'Avesnois,EPCI,591,59036,200043263,3,Avesnes-sur-Helpe
200043321,CC du Pays de Mormal,EPCI,591,59481,200043321,12,Avesnes-sur-Helpe
200043396,CA Maubeuge Val de Sambre,EPCI,591,59392,200043396,3,Avesnes-sur-Helpe
200043404,CC du Sud Avesnois,EPCI,591,59249,200043404,3,Avesnes-sur-Helpe
200044618,CA Douaisis Agglo,EPCI,593,59178,200044618,17,Douai
200053742,Région Hauts-de-France,REG,999,,,,Autre
200057123,Téteghem-Coudekerque-Village,COM,594,59588,245900428,13,Dunkerque
200057222,Ghyvelde,COM,594,59260,245900428,14,Dunkerque
200067098,SIVOM de la Vacquerie,SI,592,59269,,18,Cambrai
200068500,CA de Cambrai,EPCI,592,59122,200068500,18,Cambrai
200092906,FEAL,SI,595,59011,,5,Lille
200093201,Métropole Européenne de Lille,EPCI,595,59350,200093201,1,Lille
200093714,SM de l'Energie du Cambrésis,SI,592,59428,,18,Cambrai
210202941,La Flamengrie,COM,,2312,,,
215900010,Abancourt,COM,592,59001,200068500,18,Cambrai
215900028,Abscon,COM,596,59002,200042190,19,Valenciennes
215900036,Aibes,COM,591,59003,200043396,3,Avesnes-sur-Helpe
215900044,Aix-en-Pévèle,COM,593,59004,200041960,6,Douai
215900051,Allennes-les-Marais,COM,595,59005,200093201,5,Lille
215900069,Amfroipret,COM,591,59006,200043321,3,Avesnes-sur-Helpe
215900077,Anhiers,COM,593,59007,200044618,16,Douai
215900085,Aniche,COM,593,59008,245901152,16,Douai
215900093,Villeneuve-d'Ascq,COM,595,59009,200093201,2,Lille
215900101,Anneux,COM,592,59010,200068500,18,Cambrai
215900119,Annœullin,COM,595,59011,200093201,5,Lille
215900127,Anor,COM,591,59012,200043404,3,Avesnes-sur-Helpe
215900135,Anstaing,COM,595,59013,200093201,6,Lille
215900143,Anzin,COM,596,59014,245901160,20,Valenciennes
215900150,Arleux,COM,593,59015,200044618,17,Douai
215900168,Armbouts-Cappel,COM,594,59016,245900428,14,Dunkerque
215900176,Armentières,COM,595,59017,200093201,11,Lille
215900184,Arnèke,COM,594,59018,200040947,15,Dunkerque
215900192,Artres,COM,596,59019,245901160,19,Valenciennes
215900218,Assevent,COM,591,59021,200043396,3,Avesnes-sur-Helpe
215900226,Attiches,COM,595,59022,200041960,6,Lille
215900234,Aubencheul-au-Bac,COM,592,59023,200068500,18,Cambrai
215900242,Auberchicourt,COM,593,59024,245901152,16,Douai
215900259,Aubers,COM,595,59025,200093201,5,Lille
215900267,Aubigny-au-Bac,COM,593,59026,200044618,17,Douai
215900275,Aubry-du-Hainaut,COM,596,59027,245901160,21,Valenciennes
215900283,Auby,COM,593,59028,200044618,17,Douai
215900291,Auchy-lez-Orchies,COM,593,59029,200041960,6,Douai
215900317,Audignies,COM,591,59031,200043321,3,Avesnes-sur-Helpe
215900325,Aulnoy-lez-Valenciennes,COM,596,59032,245901160,19,Valenciennes
215900333,Aulnoye-Aymeries,COM,591,59033,200043396,12,Avesnes-sur-Helpe
215900341,Avelin,COM,595,59034,200041960,6,Lille
215900358,Avesnelles,COM,591,59035,200043263,12,Avesnes-sur-Helpe
215900366,Avesnes-sur-Helpe,COM,591,59036,200043263,3,Avesnes-sur-Helpe
215900374,Avesnes-les-Aubert,COM,592,59037,200030633,12,Cambrai
215900382,Avesnes-le-Sec,COM,596,59038,200042190,19,Valenciennes
215900390,Awoingt,COM,592,59039,200068500,18,Cambrai
215900416,Bachant,COM,591,59041,200043396,12,Avesnes-sur-Helpe
215900424,Bachy,COM,595,59042,200041960,6,Lille
215900432,Bailleul,COM,594,59043,200040947,15,Dunkerque
215900440,Baisieux,COM,595,59044,200093201,6,Lille
215900457,Baives,COM,591,59045,200043404,3,Avesnes-sur-Helpe
215900465,Bambecque,COM,594,59046,200040954,14,Dunkerque
215900473,Banteux,COM,592,59047,200068500,18,Cambrai
215900481,Bantigny,COM,592,59048,200068500,18,Cambrai
215900499,Bantouzelle,COM,592,59049,200068500,18,Cambrai
215900507,Bas-Lieu,COM,591,59050,200043263,3,Avesnes-sur-Helpe
215900515,La Bassée,COM,595,59051,200093201,5,Lille
215900523,Bauvin,COM,595,59052,200093201,5,Lille
215900531,Bavay,COM,591,59053,200043321,3,Avesnes-sur-Helpe
215900549,Bavinchove,COM,594,59054,200040947,15,Dunkerque
215900556,Bazuel,COM,592,59055,200030633,18,Cambrai
215900564,Beaucamps-Ligny,COM,595,59056,200093201,11,Lille
215900572,Beaudignies,COM,591,59057,200043321,12,Avesnes-sur-Helpe
215900580,Beaufort,COM,591,59058,200043396,12,Avesnes-sur-Helpe
215900598,Beaumont-en-Cambrésis,COM,592,59059,200030633,18,Cambrai
215900606,Beaurain,COM,592,59060,245901038,12,Cambrai
215900614,Beaurepaire-sur-Sambre,COM,591,59061,200043263,12,Avesnes-sur-Helpe
215900622,Beaurieux,COM,591,59062,200043263,3,Avesnes-sur-Helpe
215900630,Beauvois-en-Cambrésis,COM,592,59063,200030633,12,Cambrai
215900648,Bellaing,COM,596,59064,200042190,21,Valenciennes
215900655,Bellignies,COM,591,59065,200043321,3,Avesnes-sur-Helpe
215900663,Bérelles,COM,591,59066,200043263,3,Avesnes-sur-Helpe
215900671,Bergues,COM,594,59067,200040954,14,Dunkerque
215900689,Berlaimont,COM,591,59068,200043396,12,Avesnes-sur-Helpe
215900697,Bermerain,COM,592,59069,245901038,12,Cambrai
215900705,Bermeries,COM,591,59070,200043321,3,Avesnes-sur-Helpe
215900713,Bersée,COM,595,59071,200041960,6,Lille
215900721,Bersillies,COM,591,59072,200043396,3,Avesnes-sur-Helpe
215900739,Berthen,COM,594,59073,200040947,15,Dunkerque
215900747,Bertry,COM,592,59074,200030633,18,Cambrai
215900754,Béthencourt,COM,592,59075,200030633,12,Cambrai
215900762,Bettignies,COM,591,59076,200043396,3,Avesnes-sur-Helpe
215900770,Bettrechies,COM,591,59077,200043321,3,Avesnes-sur-Helpe
215900788,Beugnies,COM,591,59078,200043263,3,Avesnes-sur-Helpe
215900796,Beuvrages,COM,596,59079,245901160,20,Valenciennes
215900804,Beuvry-la-Forêt,COM,593,59080,200041960,6,Douai
215900812,Bévillers,COM,592,59081,200030633,12,Cambrai
215900820,Bierne,COM,594,59082,200040954,14,Dunkerque
215900838,Bissezeele,COM,594,59083,200040954,14,Dunkerque
215900846,Blaringhem,COM,594,59084,200040947,15,Dunkerque
215900853,Blécourt,COM,592,59085,200068500,18,Cambrai
215900861,Boeschepe,COM,594,59086,200040947,15,Dunkerque
215900879,Boëseghem,COM,594,59087,200040947,15,Dunkerque
215900887,Bois-Grenier,COM,595,59088,200093201,11,Lille
215900895,Bollezeele,COM,594,59089,200040954,14,Dunkerque
215900903,Bondues,COM,595,59090,200093201,9,Lille
215900911,Borre,COM,594,59091,200040947,15,Dunkerque
215900929,Bouchain,COM,596,59092,200042190,19,Valenciennes
215900937,Boulogne-sur-Helpe,COM,591,59093,200043263,12,Avesnes-sur-Helpe
215900945,Bourbourg,COM,594,59094,245900428,14,Dunkerque
215900960,Bourghelles,COM,595,59096,200041960,6,Lille
215900978,Boursies,COM,592,59097,200068500,18,Cambrai
215900986,Bousbecque,COM,595,59098,200093201,10,Lille
215900994,Bousies,COM,591,59099,200043321,12,Avesnes-sur-Helpe
215901000,Bousignies,COM,596,59100,200042190,20,Valenciennes
215901018,Bousignies-sur-Roc,COM,591,59101,200043396,3,Avesnes-sur-Helpe
215901026,Boussières-en-Cambrésis,COM,592,59102,200030633,12,Cambrai
215901034,Boussières-sur-Sambre,COM,591,59103,200043396,12,Avesnes-sur-Helpe
215901042,Boussois,COM,591,59104,200043396,3,Avesnes-sur-Helpe
215901059,Bouvignies,COM,593,59105,200041960,16,Douai
215901067,Bouvines,COM,595,59106,200093201,6,Lille
215901075,Bray-Dunes,COM,594,59107,245900428,14,Dunkerque
215901083,Briastre,COM,592,59108,200030633,12,Cambrai
215901091,Brillon,COM,596,59109,200042190,20,Valenciennes
215901109,Brouckerque,COM,594,59110,200040954,14,Dunkerque
215901117,Broxeele,COM,594,59111,200040954,14,Dunkerque
215901125,Bruay-sur-l'Escaut,COM,596,59112,245901160,20,Valenciennes
215901133,Bruille-lez-Marchiennes,COM,593,59113,245901152,16,Douai
215901141,Bruille-Saint-Amand,COM,596,59114,200042190,20,Valenciennes
215901158,Brunémont,COM,593,59115,200044618,17,Douai
215901166,Bry,COM,591,59116,200043321,12,Avesnes-sur-Helpe
215901174,Bugnicourt,COM,593,59117,200044618,17,Douai
215901182,Busigny,COM,592,59118,200030633,18,Cambrai
215901190,Buysscheure,COM,594,59119,200040947,15,Dunkerque
215901208,Caëstre,COM,594,59120,200040947,15,Dunkerque
215901216,Cagnoncles,COM,592,59121,200068500,18,Cambrai
215901224,Cambrai,COM,592,59122,200068500,18,Cambrai
215901232,Camphin-en-Carembault,COM,595,59123,200041960,5,Lille
215901240,Camphin-en-Pévèle,COM,595,59124,200041960,6,Lille
215901257,Cantaing-sur-Escaut,COM,592,59125,200068500,18,Cambrai
215901265,Cantin,COM,593,59126,200044618,17,Douai
215901273,Capelle,COM,592,59127,245901038,12,Cambrai
215901281,Capinghem,COM,595,59128,200093201,11,Lille
215901299,Cappelle-en-Pévèle,COM,595,59129,200041960,6,Lille
215901307,Cappelle-Brouck,COM,594,59130,200040954,14,Dunkerque
215901315,Cappelle-la-Grande,COM,594,59131,245900428,13,Dunkerque
215901323,Carnières,COM,592,59132,200030633,12,Cambrai
215901331,Carnin,COM,595,59133,200093201,5,Lille
215901349,Cartignies,COM,591,59134,200043263,12,Avesnes-sur-Helpe
215901356,Cassel,COM,594,59135,200040947,15,Dunkerque
215901364,Le Cateau-Cambrésis,COM,592,59136,200030633,18,Cambrai
215901372,Catillon-sur-Sambre,COM,592,59137,200030633,18,Cambrai
215901380,Cattenières,COM,592,59138,200030633,12,Cambrai
215901398,Caudry,COM,592,59139,200030633,18,Cambrai
215901406,Caullery,COM,592,59140,200030633,18,Cambrai
215901414,Cauroir,COM,592,59141,200068500,18,Cambrai
215901422,Cerfontaine,COM,591,59142,200043396,3,Avesnes-sur-Helpe
215901430,La Chapelle-d'Armentières,COM,595,59143,200093201,11,Lille
215901448,Château-l'Abbaye,COM,596,59144,200042190,20,Valenciennes
215901455,Chemy,COM,595,59145,200041960,5,Lille
215901463,Chéreng,COM,595,59146,200093201,6,Lille
215901471,Choisies,COM,591,59147,200043263,3,Avesnes-sur-Helpe
215901489,Clairfayts,COM,591,59148,200043263,3,Avesnes-sur-Helpe
215901497,Clary,COM,592,59149,200030633,18,Cambrai
215901505,Cobrieux,COM,595,59150,200041960,6,Lille
215901513,Colleret,COM,591,59151,200043396,3,Avesnes-sur-Helpe
215901521,Comines,COM,595,59152,200093201,4,Lille
215901539,Condé-sur-l'Escaut,COM,596,59153,245901160,21,Valenciennes
215901554,Coudekerque-Branche,COM,594,59155,245900428,13,Dunkerque
215901562,Courchelettes,COM,593,59156,200044618,17,Douai
215901570,Cousolre,COM,591,59157,200043396,3,Avesnes-sur-Helpe
215901588,Coutiches,COM,593,59158,200041960,6,Douai
215901596,Craywick,COM,594,59159,245900428,14,Dunkerque
215901604,Crespin,COM,596,59160,245901160,21,Valenciennes
215901612,Crèvecœur-sur-l'Escaut,COM,592,59161,200068500,18,Cambrai
215901620,Crochte,COM,594,59162,200040954,14,Dunkerque
215901638,Croix,COM,595,59163,200093201,7,Lille
215901646,Croix-Caluyau,COM,591,59164,200043321,12,Avesnes-sur-Helpe
215901653,Cuincy,COM,593,59165,200044618,17,Douai
215901661,Curgies,COM,596,59166,245901160,21,Valenciennes
215901679,Cuvillers,COM,592,59167,200068500,18,Cambrai
