id_operation,sirene,intitule_projet,programmation,statut,cout_ht,date_integration
1,200036895,"Renouvellement de l’éclairage public LED, rénovation des armoires rue et résidence du Vivier",2020,,"43725,14",02/02/2023 12:00
2,215906561,aménagement hôtel de police municipale,2023,,92962,30/11/2023 00:00
3,200057123,construction groupe scolaire et salle multisport,2023,,0,30/11/2023 00:00
4,215900689,Rénovation énergétique des locaux de l’ancienne école maternelle pour la création d’une micro crèche,2023,,106061,30/11/2023 00:00
5,215906389,"Changement des portes et fenêtres de la garderie périscolaire, de la crèche et du foyer associatif",2023,,40761,30/11/2023 00:00
6,215900986,remise à niveau des salles Jean Debuf et Jean-Philippe Gatien du complexe sportif,2023,,179271,30/11/2023 00:00
7,215900523,Réfection des menuiseries à l’école des Coquelicots,2023,,81767,30/11/2023 00:00
8,215900176,Rénovation de l’installation de chauffage du groupe scolaire Léon Blum,2023,,229020,30/11/2023 00:00
9,215903204,"Mise aux normes, rénovation thermique et optimisation énergétique de l’école Jean Monnet avec création aménagements extérieurs",2023,,1048411,30/11/2023 00:00
10,215905241,construction de l’école maternelle et de locaux sportifs,2023,,3256596,30/11/2023 00:00
11,215906348,mises aux normes et rénovation thermique du dortoir de l’école,2023,,32945,30/11/2023 00:00
12,215906157,installation panneaux photovoltaïques sur bâtiment des services techniques municipaux,2023,,48058,30/11/2023 00:00
13,215905811,rénovation thermique 3 classe de l école élementaire J Monet,2023,,53956,30/11/2023 00:00
14,215905795,remplacement chaudière gaz par pompe à chaleur école P Dewaele,2023,,41735,30/11/2023 00:00
15,200027159,Rénovation et isolation des bâtiments scolaires (école maternelle Kergomard),2023,,438925,30/11/2023 00:00
16,215904541,construction maison de santé pluriprofessionnelle,2023,,1460259,30/11/2023 00:00
17,215904368,construction vestiaires aux normes de la FFF,2023,,462693,30/11/2023 00:00
18,215904319,Rénovation de bâtiments pour création nouvel espace périscolaire,2023,abandon,489391,30/11/2023 00:00
19,215904160,création plateau multisports,2023,,136654,30/11/2023 00:00
20,215904160,isolation des bâtiments communaux,2023,,67435,30/11/2023 00:00
21,215903998,pose de panneaux photovoltaïques sur nouvelle salle polyvalente,2023,,91110,30/11/2023 00:00
22,215903584,rénovation de l’école (toiture),2023,,91995,30/11/2023 00:00
23,215903402,rénovation thermique et mise aux normes du batiment Atelier 374 ,2023,,822705,30/11/2023 00:00
24,215901802,"mise aux normes , rénovation thermique de l’école publique",2023,,71878,30/11/2023 00:00
25,215902958,sécurisation des écoles Ferdinand Buisson Lamartine Pasteur,2023,,19567,30/11/2023 00:00
26,215902933,Amélioration et sécurisation de l’accessibilité piétonne de l’école Antoine de Saint Exupéry,2023,,52139,30/11/2023 00:00
27,215902719,installation bornes de recharge véhicules électriques,2023,,146702,30/11/2023 00:00
28,215906520,Installation d’une pompe à chaleur à la mairie,2023,,28770,30/11/2023 00:00
29,215906066,Projet «deuxième tranche – plan numérique dans les écoles publiques valenciennoises»,2023,,237811,30/11/2023 00:00
30,215905597,Extension de l’école maternelle de l’Aunelle et de la cantine ,2023,,477039,30/11/2023 00:00
31,215905449,Construction d’un groupe scolaire – phase 1,2023,,4933468,30/11/2023 00:00
32,215905266,Création d’un écran sphérique interactif pour la maison Louise de Bettignies,2023,,66200,30/11/2023 00:00
33,215905159,Rénovation de la salle des sports et du terrain multisports,2023,,628989,30/11/2023 00:00
34,215904913,Travaux de rénovation thermique de l’école Anne Godeau – tranche 2,2023,,2996586,30/11/2023 00:00
35,215904848,Phase 4 des travaux de restructuration des espaces publics du quartier Mozart,2023,,323844,30/11/2023 00:00
36,215904590,Rénovation des portes du groupe scolaire Saint-Exupéry (changement des portes école maternelle et élémentaire),2023,,151499,30/11/2023 00:00
37,215904038,Construction d’un batiment public accessible PMR à vocation principale de cantine scolaire,2023,,968368,30/11/2023 00:00
38,215902107,renovation thermique de l ancienne école maternelle,2023,,144008,30/11/2023 00:00
39,200027159,installation d'un générateur photovoltaïque et raccordement au réseau de chaleur d'un groupe scolaire ,2023,,203997,30/11/2023 00:00
40,200027159,rénovation et isolation thermique école V Hugo,2023,,275000,30/11/2023 00:00
41,200027159,aménagement d’une restauration scolaire à la maison de quartier de la tente verte,2023,,266646,30/11/2023 00:00
42,215903832,Réhabilitation de l’école Jules Henri Lengrand,2023,,390000,30/11/2023 00:00
43,215903485,Projet de micro crèche,2023,,429330,30/11/2023 00:00
