COM,Commune,PMUN,PCAP,PTOT
59001,Abancourt,450,15,465
59002,Abscon,4160,31,4191
59003,Aibes,357,8,365
59004,Aix-en-PÃ©vÃ¨le,1348,10,1358
59005,Allennes-les-Marais,3549,58,3607
59006,Amfroipret,232,4,236
59007,Anhiers,895,9,904
59008,Aniche,10001,53,10054
59009,Villeneuve-d'Ascq,62342,594,62936
59010,Anneux,256,1,257
59011,AnnÅullin,10887,95,10982
59012,Anor,3152,36,3188
59013,Anstaing,1643,25,1668
59014,Anzin,13417,94,13511
59015,Arleux,3148,26,3174
59016,Armbouts-Cappel,2097,44,2141
59017,ArmentiÃ¨res,26107,371,26478
59018,ArnÃ¨ke,1557,16,1573
59019,Artres,1073,11,1084
59021,Assevent,1782,15,1797
59022,Attiches,2241,29,2270
59023,Aubencheul-au-Bac,535,7,542
59024,Auberchicourt,4626,38,4664
59025,Aubers,1746,30,1776
59026,Aubigny-au-Bac,1167,17,1184
59027,Aubry-du-Hainaut,1715,25,1740
59028,Auby,7171,32,7203
59029,Auchy-lez-Orchies,1542,22,1564
59031,Audignies,364,6,370
59032,Aulnoy-lez-Valenciennes,7125,68,7193
59033,Aulnoye-Aymeries,8674,250,8924
59034,Avelin,2575,42,2617
59035,Avesnelles,2254,44,2298
59036,Avesnes-sur-Helpe,4088,134,4222
59037,Avesnes-les-Aubert,3584,40,3624
59038,Avesnes-le-Sec,1453,17,1470
59039,Awoingt,773,24,797
59041,Bachant,2246,18,2264
59042,Bachy,1890,31,1921
59043,Bailleul,14734,226,14960
59044,Baisieux,5361,49,5410
59045,Baives,161,5,166
59046,Bambecque,842,2,844
59047,Banteux,343,9,352
59048,Bantigny,499,8,507
59049,Bantouzelle,443,7,450
59050,Bas-Lieu,344,3,347
59051,La BassÃ©e,6678,38,6716
59052,Bauvin,5124,49,5173
59053,Bavay,3240,58,3298
59054,Bavinchove,1046,13,1059
59055,Bazuel,549,9,558
59056,Beaucamps-Ligny,845,24,869
59057,Beaudignies,572,4,576
59058,Beaufort,1008,14,1022
59059,Beaumont-en-CambrÃ©sis,457,7,464
59060,Beaurain,233,6,239
59061,Beaurepaire-sur-Sambre,277,2,279
59062,Beaurieux,167,7,174
59063,Beauvois-en-CambrÃ©sis,1948,17,1965
59064,Bellaing,1315,12,1327
59065,Bellignies,810,18,828
59066,BÃ©relles,162,5,167
59067,Bergues,3543,40,3583
59068,Berlaimont,3169,38,3207
59069,Bermerain,778,13,791
59070,Bermeries,377,5,382
59071,BersÃ©e,2289,49,2338
59072,Bersillies,243,2,245
59073,Berthen,618,10,628
59074,Bertry,2138,27,2165
59075,BÃ©thencourt,697,5,702
59076,Bettignies,355,6,361
59077,Bettrechies,254,6,260
59078,Beugnies,608,6,614
59079,Beuvrages,6791,36,6827
59080,Beuvry-la-ForÃªt,2852,42,2894
59081,BÃ©villers,537,13,550
59082,Bierne,1744,26,1770
59083,Bissezeele,242,11,253
59084,Blaringhem,2046,30,2076
59085,BlÃ©court,309,6,315
59086,Boeschepe,2212,30,2242
59087,BoÃ«seghem,738,12,750
59088,Bois-Grenier,1784,24,1808
